Field,Abstract
in 1971 goodman and rose predicted the occurrence of a fundamental electrostatic limit for the photocurrent in semiconductors at high light intensities blends of conjugated polymers and fullerenes are an ideal model system to observe this space charge limit experimentally since they combine an unbalanced charge transport long lifetimes high charge carrier generation efficiencies and low mobility of the slowest charge carrier the experimental photocurrents reveal all the characteristics of a space charge limited photocurrent a one half power dependence on voltage a three quarter power dependence on light intensity and a one half power scaling of the voltage at which the photocurrent switches into full saturation with light intensity author,Physics
we present pseudopotential coefficients for the first two rows of the periodic table the pseudopotential is of an analytic form that gives optimal efficiency in numerical calculations using plane waves as a basis set at most seven coefficients are necessary to specify its analytic form it is separable and has optimal decay properties in both real and fourier space because of this property the application of the nonlocal part of the pseudopotential to a wave function can be done efficiently on a grid in real space real space integration is much faster for large systems than ordinary multiplication in fourier space since it shows only quadratic scaling with respect to the size of the system we systematically verify the high accuracy of these pseudopotentials by extensive atomic and molecular test calculations textcopyright,Physics
nose has modified newtonian dynamics so as to reproduce both the canonical and the isothermal isobaric probability densities in the phase space of an n body system he did this by scaling time with s and distance with v sup 1 d in d dimensions through lagrangian equations of motion the dynamical equations describe the evolution of these two scaling variables and their two conjugate momenta p sub s and p sub v here we develop a slightly different set of equations free of time scaling we find the dynamical steady state probability density in an extended phase space with variables x p sub x v epsilon dot and zeta where the x are reduced distances and the two variables epsilon dot and zeta act as thermodynamic friction coefficients we find that these friction coefficients have gaussian distributions from the distributions the extent of small system non newtonian behavior can be estimated we illustrate the dynamical equations by considering their application to the simplest possible case a one dimensional classical harmonic oscillator author,Physics
we provide the first evidence for a holographic correspondence between a gravitational theory in flat space and a specific unitary field theory in one dimension lower the gravitational theory is a flat space limit of topologically massive gravity in three dimensions at a chern simons level of k 1 the field theory is a chiral two dimensional conformal field theory with a central charge of c 24 author,Physics
a technique is demonstrated for polarization demultiplexing of arbitrary complex modulated signals the technique is based entirely on the observation of samples in stokes space does not involve demodulation and is modulation format independent the data in stokes space is used to find the best fit plane and the normal to it which contains the origin this normal identifies the two orthogonal polarization states of transmission and the desired polarization alignment transformation matrix the technique is verified experimentally and is compared with the constant modulus algorithm author,Physics
we propose that space time at the smallest scales is in reality a causal set a locally finite set of elements endowed with a partial order corresponding to the macroscopic relation that defines past and future we explore how a lorentzian manifold can approximate a causal set noting in particular that the thereby defined effective dimensionality of a given causal set can vary with length scale finally we speculate briefly on the quantum dynamics of causal sets indicating why an appropriate choice of action can reproduce general relativity in the classical limit author,Physics
we propose a new approach towards analytically solving for the dynamical content of conformal field theories cfts using the bootstrap philosophy this combines the original bootstrap idea of polyakov with the modern technology of the mellin representation of cft amplitudes we employ exchange witten diagrams with built in crossing symmetry as our basic building blocks rather than the conventional conformal blocks in a particular channel demanding consistency with the operator product expansion ope implies an infinite set of constraints on operator dimensions and ope coefficients we illustrate the power of this method in the expansion of the wilson fisher fixed point by reproducing anomalous dimensions and strikingly obtaining ope coefficients to higher orders in than currently available using other analytic techniques including feynman diagram calculations our results enable us to get a somewhat better agreement between certain observables in the 3d ising model and the precise numerical values that have been recently obtained author,Physics
we present a strategy to design and construct self assembling dna nanostructures that define intricate curved surfaces in three dimensional 3d space using the dna origami folding technique double helical dna is bent to follow the rounded contours of the target object and potential strand crossovers are subsequently identified concentric rings of dna are used to generate in plane curvature constrained to 2d by rationally designed geometries and crossover networks out of plane curvature is introduced by adjusting the particular position and pattern of crossovers between adjacent dna double helices whose conformation often deviates from the natural b form twist density a series of dna nanostructures with high curvature such as 2d arrangements of concentric rings and 3d spherical shells ellipsoidal shells and a nanoflask were assembled author,Physics
objective nin both diagnostic and research applications the interpretation of mr images of the human brain is facilitated when different data sets can be compared by visual inspection of equivalent anatomical planes quantitative analysis with predefined atlas templates often requires the initial alignment of atlas and image planes unfortunately the axial planes acquired during separate scanning sessions are often different in their relative position and orientation and these slices are not coplanar with those in the atlas we have developed a completely automatic method to register a given volumetric data set with talairach stereotaxic coordinate system n n nmaterials and methods nthe registration method is based on multi scale three dimensional 3d cross correlation with an average n gt 300 mr brain image volume aligned with the talariach stereotaxic space once the data set is re sampled by the transformation recovered by the algorithm atlas slices can be directly superimposed on the corresponding slices of the re sampled volume the use of such a standardized space also allows the direct comparison voxel to voxel of two or more data sets brought into stereotaxic space n n nresults nwith use of a two tailed student t test for paired samples there was no significant difference in the transformation parameters recovered by the automatic algorithm when compared with two manual landmark based methods p gt 0 1 for all parameters except y scale where p gt 0 05 using root mean square difference between normalized voxel intensities as an unbiased measure of registration we show that when estimated and averaged over 60 volumetric mr images in standard space this measure was 30 lower for the automatic technique than the manual method indicating better registrations likewise the automatic method showed a 57 reduction in standard deviation implying a more stable technique the algorithm is able to recover the transformation even when data are missing from the top or bottom of the volume n n nconclusion nwe present a fully automatic registration method to map volumetric data into stereotaxic space that yields results comparable with those of manually based techniques the method requires no manual identification of points or contours and therefore does not suffer the drawbacks involved in user intervention such as reproducibility and interobserver variability author,Physics
we demonstrate the transfer of information encoded as orbital angular momentum oam states of a light beam the transmitter and receiver units are based on spatial light modulators which prepare or measure a laser beam in one of eight pure oam states we show that the information encoded in this way is resistant to eavesdropping in the sense that any attempt to sample the beam away from its axis will be subject to an angular restriction and a lateral offset both of which result in inherent uncertainty in the measurement this gives an experimental insight into the effects of aperturing and misalignment of the beam on the oam measurement and demonstrates the uncertainty relationship for oam author,Physics
we examine the issue of determining an acceptable minimum embedding dimension by looking at the behavior of near neighbors under changes in the embedding dimension from d ensuremath,Physics
the concept of deep space optical communications was formulated shortly after the invention of lasers the promise of laser communications high data rate delivery with significantly reduced aperture size for the flight terminal led to the pursuit of several successful experiments from earth orbit and provided the incentive for further demonstrations to extend the range to deep space this paper is aimed at presenting an overview of the current status of optical communications with an emphasis on deep space future perspectives and applications of optical communications related to near earth and interplanetary communications are also addressed author,Physics
the radon transform can be used to reduce two dimensional or three dimensional signal processing problems to a series of one dimensional problems we discuss the use of incoherent optical systems and one dimensional filters for convolutions correlations and spectrum analysis in two or three dimensions author,Physics
measurement of the size of anatomic regions of interest in medical images is used to diagnose disease track growth and evaluate response to therapy the discrete nature of medical images allows for both continuous and discrete definitions of region boundary these definitions may in turn support several methods of area calculation that give substantially different quantitative values this study investigated several boundary definitions e g continuous polygon internal discrete and external discrete and area calculation methods pixel counting and green s theorem these methods were applied to three separate databases a synthetic image database the lung image database consortium database of lung nodules and a database of adrenal gland outlines average percent differences in area on the order of 20 were found among the different methods applied to the clinical databases these results support the idea that inconsistent application of region boundary definition and area calculation may substantially impact measurement accuracy author,Physics
this article discusses the development of an aircraft which can leave and enter the earth s atmosphere without the aid of rocket propulsion scramjets are designed to scoop oxygen from the atmosphere as they ascend the weight savings from capturing air in flight instead of carrying it means that these jets can deliver approximately four times the thrust of a rocket for every pound of propellant consumed author,Physics
the energy density of the chromoelectric field generated by the static qq bar pair is computed in the su 2 lattice gauge theory the energy density in the central region of the wilson loop shows significant deviations from the coulomb behavior and approaches a constant value at r sub q sub q bar 0 8 1 1 fm author,Physics
we show that the solution published in the paper by senovilla phys rev lett 64 2219 1990 is geodesically complete and singularity free we also prove that the solution satisfies the stronger energy and causality conditions such as global hyperbolicity the strong energy condition causal symmetry and causal stability a detailed discussion about which assumptions in the singularity theorems are not satisfied is performed and we show explicitly that the solution is in accordance with those theorems a brief discussion of the results is given author,Physics
the expression for the wigner distribution wd in polar coordinates was derived based on the decomposition of coherent and partially coherent fields on the orthogonal sets of hermite gauss modes this representation allows one to analyze easily the structure of the wd and to describe the field propagation through first order optical systems including the self imaging phenomenon author,Physics
